id;category;difficulty;question_fr;question_en;choices_fr;choices_en;correct;explanation_fr;explanation_en;source_hint
11;Géographie;1;"Quel fleuve traverse Paris ?";"Which river runs through Paris?";"A) Rhin | B) Loire | C) Seine | D) Rhône";"A) Rhine | B) Loire | C) Seine | D) Rhône";"C";"Paris est traversée par la Seine."; "Paris is crossed by the Seine."; "Wikidata/Encyclopedia"
12;Histoire;3;"En quelle année le mur de Berlin est-il tombé ?";"In what year did the Berlin Wall fall?";"A) 1979 | B) 1989 | C) 1999 | D) 2009";"A) 1979 | B) 1989 | C) 1999 | D) 2009";"B";"La chute du mur de Berlin date de 1989."; "The Berlin Wall fell in 1989."; "History reference"
13;Physique;2;"À pression atmosphérique normale, à quelle température l’eau bout-elle ?";"At standard atmospheric pressure, at what temperature does water boil?";"A) 0°C | B) 50°C | C) 100°C | D) 150°C";"A) 0°C | B) 50°C | C) 100°C | D) 150°C";"C";"À 1 atm, l’eau bout à 100°C."; "At 1 atm, water boils at 100°C."; "Physics/Chem textbook"
14;Géographie;2;"Quelle est la plus haute montagne du monde (altitude au-dessus du niveau de la mer) ?";"What is the world’s highest mountain (above sea level)?";"A) K2 | B) Mont Blanc | C) Everest | D) Kilimandjaro";"A) K2 | B) Mont Blanc | C) Everest | D) Kilimanjaro";"C";"Le mont Everest est le plus haut au-dessus du niveau de la mer."; "Mount Everest is the highest above sea level."; "Geography reference"
15;Espace;1;"Quelle est la plus grande planète du Système solaire ?";"What is the largest planet in the Solar System?";"A) Terre | B) Jupiter | C) Saturne | D) Neptune";"A) Earth | B) Jupiter | C) Saturn | D) Neptune";"B";"Jupiter est la plus grande planète du Système solaire."; "Jupiter is the largest planet in the Solar System."; "NASA/Solar System"
16;Nature;3;"Quel animal est un mammifère qui pond des œufs ?";"Which animal is a mammal that lays eggs?";"A) Dauphin | B) Chauve-souris | C) Ornithorynque | D) Kangourou";"A) Dolphin | B) Bat | C) Platypus | D) Kangaroo";"C";"L’ornithorynque fait partie des monotrèmes (mammifères ovipares).";"The platypus is a monotreme (an egg-laying mammal).";"Biology reference"
17;Culture;2;"Qui a écrit « Le Petit Prince » ?";"Who wrote “The Little Prince”?";"A) Victor Hugo | B) Antoine de Saint-Exupéry | C) Albert Camus | D) Jules Verne";"A) Victor Hugo | B) Antoine de Saint-Exupéry | C) Albert Camus | D) Jules Verne";"B";"« Le Petit Prince » a été écrit par Antoine de Saint-Exupéry."; "“The Little Prince” was written by Antoine de Saint-Exupéry."; "Literature reference"
18;Langue;2;"Quel est le pluriel de « cheval » ?";"What is the plural of the French word “cheval”?";"A) Chevals | B) Chevales | C) Chevaux | D) Chevalx";"A) Chevals | B) Chevales | C) Chevaux | D) Chevalx";"C";"Le pluriel irrégulier est « chevaux »."; "The irregular plural is “chevaux.”"; "French grammar"
19;Technologie;1;"En informatique, quels sont les deux chiffres utilisés en binaire ?";"In computing, which two digits are used in binary?";"A) 0 et 1 | B) 1 et 2 | C) 2 et 3 | D) 8 et 9";"A) 0 and 1 | B) 1 and 2 | C) 2 and 3 | D) 8 and 9";"A";"Le système binaire utilise uniquement 0 et 1."; "Binary uses only 0 and 1."; "CS basics"
20;Chimie;2;"Une solution avec un pH inférieur à 7 est…";"A solution with pH below 7 is…";"A) Basique | B) Acide | C) Neutre | D) Salée";"A) Basic | B) Acidic | C) Neutral | D) Salty";"B";"pH < 7 = acide, pH = 7 = neutre, pH > 7 = basique."; "pH < 7 is acidic; pH = 7 neutral; pH > 7 basic."; "Chemistry basics"
21;Géographie;3;"Quel continent compte le plus grand nombre de pays ?";"Which continent has the largest number of countries?";"A) Europe | B) Afrique | C) Asie | D) Amérique du Sud";"A) Europe | B) Africa | C) Asia | D) South America";"B";"L’Afrique est le continent avec le plus de pays (environ 54)."; "Africa has the most countries (about 54)."; "UN/Encyclopedia"
22;Histoire;3;"Qui est devenu le premier président de la Ve République française ?";"Who became the first President of France’s Fifth Republic?";"A) François Mitterrand | B) Charles de Gaulle | C) Georges Pompidou | D) Valéry Giscard d’Estaing";"A) François Mitterrand | B) Charles de Gaulle | C) Georges Pompidou | D) Valéry Giscard d’Estaing";"B";"Charles de Gaulle est le premier président de la Ve République."; "Charles de Gaulle was the first President of the Fifth Republic."; "History reference"
23;Espace;1;"Dans quelle galaxie se trouve le Système solaire ?";"Which galaxy is the Solar System in?";"A) Andromède | B) Voie lactée | C) Sombrero | D) Triangulum";"A) Andromeda | B) Milky Way | C) Sombrero | D) Triangulum";"B";"Le Système solaire est dans la Voie lactée."; "The Solar System is in the Milky Way."; "NASA/Astronomy"
24;Physique;2;"Quelle est l’unité SI de la force ?";"What is the SI unit of force?";"A) Joule | B) Pascal | C) Newton | D) Tesla";"A) Joule | B) Pascal | C) Newton | D) Tesla";"C";"La force s’exprime en newtons (N)."; "Force is measured in newtons (N)."; "BIPM/SI units"
25;Biologie;3;"Combien d’os compte généralement le squelette humain adulte ?";"How many bones does a typical adult human skeleton have?";"A) 106 | B) 206 | C) 306 | D) 406";"A) 106 | B) 206 | C) 306 | D) 406";"B";"On retient généralement 206 os chez l’adulte."; "A common reference number is 206 bones in adults."; "Anatomy textbook"
26;Géographie;1;"Comment s’appelle la ligne imaginaire qui sépare l’hémisphère Nord et Sud ?";"What is the imaginary line that separates the Northern and Southern Hemispheres?";"A) Tropique du Cancer | B) Méridien de Greenwich | C) Équateur | D) Cercle polaire";"A) Tropic of Cancer | B) Greenwich Meridian | C) Equator | D) Polar Circle";"C";"L’équateur est la ligne de latitude 0°."; "The equator is latitude 0°."; "Geography basics"
27;Chimie;1;"Le sel de table est principalement…";"Table salt is mainly…";"A) Chlorure de sodium | B) Chlorure de potassium | C) Carbonate de calcium | D) Glucose";"A) Sodium chloride | B) Potassium chloride | C) Calcium carbonate | D) Glucose";"A";"Le sel de table est principalement du chlorure de sodium (NaCl)."; "Table salt is mainly sodium chloride (NaCl)."; "Chemistry basics"
28;Technologie;2;"La mémoire RAM est généralement…";"RAM memory is generally…";"A) Permanente (non volatile) | B) Volatile | C) Une mémoire optique | D) Un disque dur";"A) Non-volatile | B) Volatile | C) Optical memory | D) A hard drive";"B";"La RAM perd ses données quand l’alimentation s’arrête (volatile)."; "RAM loses data when power is off (volatile)."; "Computer basics"
29;Nature;2;"Quel est le plus grand animal terrestre actuel ?";"What is the largest living land animal?";"A) Girafe | B) Éléphant d’Afrique | C) Hippopotame | D) Rhinocéros";"A) Giraffe | B) African elephant | C) Hippopotamus | D) Rhinoceros";"B";"L’éléphant d’Afrique est le plus grand animal terrestre vivant."; "The African elephant is the largest living land animal."; "Wildlife reference"
30;Espace;3;"Quel astre a été reclassé comme planète naine en 2006 ?";"Which object was reclassified as a dwarf planet in 2006?";"A) Mars | B) Pluton | C) Vénus | D) Mercure";"A) Mars | B) Pluto | C) Venus | D) Mercury";"B";"En 2006, l’UAI a reclassé Pluton comme planète naine."; "In 2006, the IAU reclassified Pluto as a dwarf planet."; "IAU reference"
31;Santé/Science;3;"Le rôle principal d’un vaccin est de…";"The main role of a vaccine is to…";"A) Réchauffer le corps | B) Stimuler le système immunitaire | C) Remplacer les globules rouges | D) Augmenter la gravité";"A) Warm the body | B) Stimulate the immune system | C) Replace red blood cells | D) Increase gravity";"B";"Un vaccin entraîne le système immunitaire à reconnaître un agent pathogène."; "A vaccine trains the immune system to recognize a pathogen."; "WHO/Health reference"
32;Géographie;2;"Quel est le plus grand pays du monde par superficie ?";"What is the largest country in the world by area?";"A) Canada | B) Chine | C) Russie | D) États-Unis";"A) Canada | B) China | C) Russia | D) United States";"C";"La Russie est le plus grand pays par superficie."; "Russia is the largest country by area."; "Wikidata/Encyclopedia"
33;Chimie;1;"Quel gaz est souvent utilisé pour gonfler des ballons de fête ?";"Which gas is often used to inflate party balloons?";"A) Hélium | B) Chlore | C) Radon | D) Vapeur d’eau";"A) Helium | B) Chlorine | C) Radon | D) Water vapor";"A";"L’hélium est léger et non inflammable dans ces usages (contrairement à l’hydrogène)."; "Helium is light and nonflammable for this use (unlike hydrogen)."; "Chemistry reference"
34;Maths;2;"Combien vaut 2 puissance 10 (2^10) ?";"What is 2 to the power of 10 (2^10)?";"A) 256 | B) 512 | C) 1024 | D) 2048";"A) 256 | B) 512 | C) 1024 | D) 2048";"C";"2^10 = 1024."; "2^10 = 1024."; "Math basics"
35;Sciences de la Terre;3;"Une roche ignée (magmatique) se forme généralement par…";"An igneous rock typically forms by…";"A) Évaporation de l’eau | B) Refroidissement du magma/lave | C) Compression de sable | D) Décomposition de plantes";"A) Water evaporation | B) Cooling of magma/lava | C) Sand compaction | D) Plant decay";"B";"Les roches ignées proviennent du refroidissement et de la solidification d’un matériau fondu."; "Igneous rocks come from cooling and solidifying molten material."; "Geology textbook"
36;Biologie;3;"Dans la cellule, quel organite produit la majeure partie de l’ATP ?";"In a cell, which organelle produces most ATP?";"A) Appareil de Golgi | B) Mitochondrie | C) Lysosome | D) Noyau";"A) Golgi apparatus | B) Mitochondrion | C) Lysosome | D) Nucleus";"B";"Les mitochondries produisent l’essentiel de l’ATP via la respiration cellulaire."; "Mitochondria produce most ATP via cellular respiration."; "Biology textbook"
37;Technologie;2;"Le GPS fonctionne principalement grâce à…";"GPS works mainly thanks to…";"A) Des tours 5G uniquement | B) Des satellites | C) Des câbles sous-marins | D) Des aimants";"A) Only 5G towers | B) Satellites | C) Undersea cables | D) Magnets";"B";"Le GPS calcule une position par signaux provenant de satellites."; "GPS computes position using signals from satellites."; "GNSS reference"
38;Histoire;4;"En quelle année la Magna Carta a-t-elle été scellée en Angleterre ?";"In what year was the Magna Carta sealed in England?";"A) 1066 | B) 1215 | C) 1492 | D) 1789";"A) 1066 | B) 1215 | C) 1492 | D) 1789";"B";"La Magna Carta date de 1215."; "The Magna Carta dates to 1215."; "History reference"
39;Géographie;2;"Quelle est la monnaie du Japon ?";"What is Japan’s currency?";"A) Won | B) Yuan | C) Yen | D) Ringgit";"A) Won | B) Yuan | C) Yen | D) Ringgit";"C";"La monnaie du Japon est le yen."; "Japan’s currency is the yen."; "Economic reference"
40;Physique;3;"Pour passer de degrés Celsius à kelvins, on…";"To convert Celsius to kelvin, you…";"A) Multiplie par 2 | B) Ajoute 273,15 | C) Soustrait 100 | D) Divise par 10";"A) Multiply by 2 | B) Add 273.15 | C) Subtract 100 | D) Divide by 10";"B";"K = °C + 273,15 (approx.)."; "K = °C + 273.15 (approx.)."; "SI units/Physics"
41;Nature;2;"Quel animal subit une métamorphose complète (œuf → larve → nymphe → adulte) ?";"Which animal undergoes complete metamorphosis (egg → larva → pupa → adult)?";"A) Papillon | B) Chien | C) Serpent | D) Moineau";"A) Butterfly | B) Dog | C) Snake | D) Sparrow";"A";"Les papillons passent par les stades chenille puis chrysalide avant l’adulte."; "Butterflies go through caterpillar and pupa stages before adulthood."; "Biology reference"
42;Espace;2;"Combien de temps la Terre met-elle environ pour faire le tour du Soleil ?";"About how long does Earth take to orbit the Sun?";"A) 24 heures | B) 7 jours | C) ~365,25 jours | D) 10 ans";"A) 24 hours | B) 7 days | C) ~365.25 days | D) 10 years";"C";"Une année dure environ 365,25 jours (année tropique proche)."; "A year is about 365.25 days (close to the tropical year)."; "Astronomy reference"
43;Physique;3;"Le son se propage généralement le plus vite dans…";"Sound generally travels fastest in…";"A) Le vide | B) Les gaz | C) Les liquides | D) Les solides";"A) Vacuum | B) Gases | C) Liquids | D) Solids";"D";"Le son ne se propage pas dans le vide et va en général plus vite dans les solides."; "Sound doesn’t travel in vacuum and is generally fastest in solids."; "Physics reference"
44;Chimie;3;"Le papier tournesol devient rouge lorsque la solution est…";"Litmus paper turns red when the solution is…";"A) Acide | B) Basique | C) Neutre | D) Sucrée";"A) Acidic | B) Basic | C) Neutral | D) Sugary";"A";"Le tournesol est rouge en milieu acide et bleu en milieu basique."; "Litmus is red in acidic solutions and blue in basic solutions."; "Chemistry basics"
45;Géographie;2;"Quel est le plus grand désert chaud du monde ?";"What is the largest hot desert in the world?";"A) Gobi | B) Sahara | C) Atacama | D) Kalahari";"A) Gobi | B) Sahara | C) Atacama | D) Kalahari";"B";"Le Sahara est le plus grand désert chaud."; "The Sahara is the largest hot desert."; "Geography reference"
46;Santé/Science;2;"Quelle vitamine est produite par la peau sous l’effet du soleil ?";"Which vitamin is produced by the skin under sunlight?";"A) Vitamine A | B) Vitamine C | C) Vitamine D | D) Vitamine K";"A) Vitamin A | B) Vitamin C | C) Vitamin D | D) Vitamin K";"C";"La peau synthétise de la vitamine D sous l’effet des UVB."; "Skin synthesizes vitamin D under UVB exposure."; "Health reference"
47;Technologie;3;"Qui est principalement connu pour avoir créé le langage Python ?";"Who is mainly known for creating the Python programming language?";"A) Linus Torvalds | B) Guido van Rossum | C) Dennis Ritchie | D) Tim Berners-Lee";"A) Linus Torvalds | B) Guido van Rossum | C) Dennis Ritchie | D) Tim Berners-Lee";"B";"Python a été créé par Guido van Rossum."; "Python was created by Guido van Rossum."; "Programming history"
48;Culture;1;"Quel est l’ordre correct des notes en solfège (do majeur) ?";"What is the correct order of solfège notes (in C major)?";"A) Do Ré Mi Fa Sol La Si | B) Do Mi Ré Fa Sol Si La | C) Ré Do Mi Fa Sol La Si | D) Do Ré Fa Mi Sol La Si";"A) Do Re Mi Fa Sol La Si | B) Do Mi Re Fa Sol Si La | C) Re Do Mi Fa Sol La Si | D) Do Re Fa Mi Sol La Si";"A";"L’ordre standard est Do Ré Mi Fa Sol La Si."; "The standard order is Do Re Mi Fa Sol La Ti/Si."; "Music basics"
49;Géographie;3;"Où se trouve la Grande Barrière de corail ?";"Where is the Great Barrier Reef located?";"A) Afrique du Sud | B) Australie (au large du Queensland) | C) Brésil | D) Norvège";"A) South Africa | B) Australia (off Queensland) | C) Brazil | D) Norway";"B";"La Grande Barrière de corail est au large du Queensland, en Australie."; "The Great Barrier Reef lies off Queensland, Australia."; "Geography reference"
50;Climat/Science;3;"Quel gaz est massivement émis lors de la combustion des énergies fossiles et contribue à l’effet de serre ?";"Which gas is heavily emitted by burning fossil fuels and contributes to the greenhouse effect?";"A) Hélium | B) Dioxyde de carbone (CO2) | C) Néon | D) Argon";"A) Helium | B) Carbon dioxide (CO2) | C) Neon | D) Argon";"B";"La combustion du charbon, pétrole et gaz émet beaucoup de CO2, un gaz à effet de serre."; "Burning coal, oil, and gas emits large amounts of CO2, a greenhouse gas."; "IPCC/Climate reference"
51;Histoire;1;"En quelle année la Révolution française commence-t-elle (prise de la Bastille) ?";"In what year did the French Revolution begin (Storming of the Bastille)?";"A) 1776 | B) 1789 | C) 1815 | D) 1848";"A) 1776 | B) 1789 | C) 1815 | D) 1848";"B";"La prise de la Bastille a lieu le 14 juillet 1789.";"The Storming of the Bastille took place on July 14, 1789."
52;Histoire;1;"Qui fut le premier empereur romain ?";"Who was the first Roman emperor?";"A) Jules César | B) Auguste | C) Néron | D) Constantin";"A) Julius Caesar | B) Augustus | C) Nero | D) Constantine";"B";"Auguste (Octave) devient le premier empereur en 27 av. J.-C.";"Augustus (Octavian) became the first emperor in 27 BCE."
53;Histoire;2;"Quel traité met fin à la Première Guerre mondiale ?";"Which treaty ended World War I?";"A) Traité de Tordesillas | B) Traité de Versailles | C) Traité d’Utrecht | D) Traité de Rome";"A) Treaty of Tordesillas | B) Treaty of Versailles | C) Treaty of Utrecht | D) Treaty of Rome";"B";"Le traité de Versailles est signé en 1919.";"The Treaty of Versailles was signed in 1919."
54;Histoire;1;"Quel pharaon est associé à la découverte de sa tombe en 1922 ?";"Which pharaoh is associated with the discovery of his tomb in 1922?";"A) Ramsès II | B) Akhenaton | C) Toutânkhamon | D) Khéops";"A) Ramesses II | B) Akhenaten | C) Tutankhamun | D) Khufu";"C";"Howard Carter découvre la tombe de Toutânkhamon en 1922.";"Howard Carter discovered Tutankhamun’s tomb in 1922."
55;Histoire;2;"En quelle année l’Empire romain d’Occident disparaît-il traditionnellement ?";"Traditionally, in what year did the Western Roman Empire fall?";"A) 395 | B) 476 | C) 622 | D) 800";"A) 395 | B) 476 | C) 622 | D) 800";"B";"476 est la date classique de la déposition de Romulus Augustule.";"476 is the traditional date for the deposition of Romulus Augustulus."
56;Histoire;1;"Quel navigateur réalise le premier tour du monde (expédition achevée) ?";"Which explorer’s expedition completed the first circumnavigation of the globe?";"A) Christophe Colomb | B) Vasco de Gama | C) Fernand de Magellan | D) James Cook";"A) Christopher Columbus | B) Vasco da Gama | C) Ferdinand Magellan | D) James Cook";"C";"L’expédition de Magellan (achevée par Elcano) réalise la première circumnavigation.";"Magellan’s expedition (completed by Elcano) achieved the first circumnavigation."
57;Histoire;2;"Quel événement marque le début de l’ère chrétienne dans le calendrier grégorien ?";"What event marks the start of the Christian era in the Gregorian calendar?";"A) La fondation de Rome | B) La naissance de Jésus | C) La chute de Rome | D) Le couronnement de Charlemagne";"A) The founding of Rome | B) The birth of Jesus | C) The fall of Rome | D) Charlemagne’s coronation";"B";"Le point de départ conventionnel est la naissance de Jésus (datation historique discutée)." ;"The conventional starting point is the birth of Jesus (the exact historical dating is debated)."
58;Histoire;2;"Quelle ville tombe en 1453, marquant la fin de l’Empire byzantin ?";"Which city fell in 1453, marking the end of the Byzantine Empire?";"A) Rome | B) Constantinople | C) Alexandrie | D) Jérusalem";"A) Rome | B) Constantinople | C) Alexandria | D) Jerusalem";"B";"Constantinople est prise par les Ottomans en 1453.";"Constantinople was captured by the Ottomans in 1453."
59;Histoire;1;"Qui a peint la fresque 'La Cène' ?";"Who painted the fresco 'The Last Supper'?";"A) Michel-Ange | B) Léonard de Vinci | C) Raphaël | D) Titien";"A) Michelangelo | B) Leonardo da Vinci | C) Raphael | D) Titian";"B";"‘La Cène’ est une œuvre majeure de Léonard de Vinci.";"‘The Last Supper’ is a major work by Leonardo da Vinci."
60;Histoire;2;"Quel document de 1215 limite le pouvoir du roi d’Angleterre ?";"Which 1215 document limited the power of the King of England?";"A) Bill of Rights | B) Magna Carta | C) Habeas Corpus Act | D) Act of Union";"A) Bill of Rights | B) Magna Carta | C) Habeas Corpus Act | D) Act of Union";"B";"La Magna Carta (1215) impose des limites au pouvoir royal.";"The Magna Carta (1215) imposed limits on royal power."
61;Histoire;1;"Quel empire construisit le Machu Picchu ?";"Which empire built Machu Picchu?";"A) Aztèque | B) Inca | C) Maya | D) Olmèque";"A) Aztec | B) Inca | C) Maya | D) Olmec";"B";"Machu Picchu est un site majeur de l’empire inca.";"Machu Picchu is a major site of the Inca Empire."
62;Histoire;2;"Quel roi de France est surnommé le 'Roi-Soleil' ?";"Which King of France was nicknamed the 'Sun King'?";"A) Louis XIII | B) Louis XIV | C) Louis XV | D) François Ier";"A) Louis XIII | B) Louis XIV | C) Louis XV | D) Francis I";"B";"Louis XIV incarne la monarchie absolue et le 'Roi-Soleil'.";"Louis XIV epitomized absolute monarchy and the 'Sun King' image."
63;Histoire;2;"Quel événement déclenche officiellement la Première Guerre mondiale en 1914 ?";"Which event officially triggered World War I in 1914?";"A) La bataille de la Somme | B) L’assassinat de François-Ferdinand | C) Le traité de Versailles | D) La révolution russe";"A) The Battle of the Somme | B) The assassination of Franz Ferdinand | C) The Treaty of Versailles | D) The Russian Revolution";"B";"L’assassinat de l’archiduc à Sarajevo (28 juin 1914) est l’élément déclencheur.";"The assassination of the archduke in Sarajevo (June 28, 1914) was the triggering event."
64;Histoire;1;"Quelle civilisation est associée aux pyramides de Gizeh ?";"Which civilization is associated with the Pyramids of Giza?";"A) Grecque | B) Égyptienne antique | C) Romaine | D) Phénicienne";"A) Greek | B) Ancient Egyptian | C) Roman | D) Phoenician";"B";"Les pyramides de Gizeh datent de l’Égypte antique.";"The Pyramids of Giza date from Ancient Egypt."
65;Histoire;3;"Quel concile (1545–1563) est central pour la Contre-Réforme catholique ?";"Which council (1545–1563) was central to the Catholic Counter-Reformation?";"A) Concile de Nicée | B) Concile de Trente | C) Concile de Chalcédoine | D) Concile de Latran";"A) Council of Nicaea | B) Council of Trent | C) Council of Chalcedon | D) Lateran Council";"B";"Le concile de Trente structure la réponse catholique à la Réforme protestante.";"The Council of Trent shaped the Catholic response to the Protestant Reformation."
66;Histoire;2;"Quel mur symbolisait la division de Berlin durant la Guerre froide ?";"Which wall symbolized Berlin’s division during the Cold War?";"A) Mur d’Hadrien | B) Mur de Berlin | C) Grande Muraille | D) Mur des Lamentations";"A) Hadrian’s Wall | B) Berlin Wall | C) Great Wall | D) Western Wall";"B";"Le mur de Berlin (1961–1989) symbolise la division Est-Ouest.";"The Berlin Wall (1961–1989) symbolized the East–West divide."
67;Histoire;1;"Quel scientifique est associé à la théorie de l’héliocentrisme à la Renaissance ?";"Which scientist is associated with the heliocentric theory in the Renaissance?";"A) Copernic | B) Newton | C) Pasteur | D) Darwin";"A) Copernicus | B) Newton | C) Pasteur | D) Darwin";"A";"Copernic propose un modèle héliocentrique au XVIe siècle.";"Copernicus proposed a heliocentric model in the 16th century."
68;Histoire;2;"Quelle bataille de 1066 mène à la conquête normande de l’Angleterre ?";"Which 1066 battle led to the Norman conquest of England?";"A) Azincourt | B) Hastings | C) Waterloo | D) Poitiers";"A) Agincourt | B) Hastings | C) Waterloo | D) Poitiers";"B";"La bataille d’Hastings (1066) voit la victoire de Guillaume le Conquérant.";"The Battle of Hastings (1066) led to William the Conqueror’s victory."
69;Histoire;2;"Qui est la figure majeure de la non-violence dans l’indépendance de l’Inde ?";"Who was the major non-violence figure in India’s independence movement?";"A) Nelson Mandela | B) Mahatma Gandhi | C) Winston Churchill | D) Sun Yat-sen";"A) Nelson Mandela | B) Mahatma Gandhi | C) Winston Churchill | D) Sun Yat-sen";"B";"Gandhi popularise la résistance non-violente (satyagraha)." ;"Gandhi popularized non-violent resistance (satyagraha)."
70;Histoire;3;"Quel accord de 1998 contribue à pacifier l’Irlande du Nord ?";"Which 1998 agreement helped bring peace to Northern Ireland?";"A) Accords de Camp David | B) Accord du Vendredi saint | C) Traité de Maastricht | D) Accords de Dayton";"A) Camp David Accords | B) Good Friday Agreement | C) Maastricht Treaty | D) Dayton Accords";"B";"L’Accord du Vendredi saint (1998) est un texte majeur du processus de paix.";"The Good Friday Agreement (1998) was a key part of the peace process."
71;Histoire;1;"Quel pays est à l’origine des Jeux olympiques antiques ?";"Which country originated the ancient Olympic Games?";"A) Italie | B) Grèce | C) Égypte | D) Perse";"A) Italy | B) Greece | C) Egypt | D) Persia";"B";"Les Jeux olympiques antiques naissent en Grèce, à Olympie.";"The ancient Olympics began in Greece, at Olympia."
72;Histoire;2;"Quel empire était dirigé par Gengis Khan au XIIIe siècle ?";"Which empire was led by Genghis Khan in the 13th century?";"A) Empire ottoman | B) Empire mongol | C) Empire romain | D) Empire espagnol";"A) Ottoman Empire | B) Mongol Empire | C) Roman Empire | D) Spanish Empire";"B";"Gengis Khan fonde et étend l’Empire mongol.";"Genghis Khan founded and expanded the Mongol Empire."
73;Histoire;2;"Quel événement de 1492 est lié à Christophe Colomb ?";"Which 1492 event is linked to Christopher Columbus?";"A) Découverte européenne des Amériques | B) Révolution française | C) Réforme protestante | D) Guerre de Cent Ans";"A) European arrival in the Americas | B) French Revolution | C) Protestant Reformation | D) Hundred Years’ War";"A";"Colomb atteint les Caraïbes en 1492, ouvrant une nouvelle phase d’exploration européenne.";"Columbus reached the Caribbean in 1492, opening a new phase of European exploration."
74;Histoire;3;"Quel texte de 1804 codifie une partie majeure du droit civil en France ?";"Which 1804 text codified a major part of civil law in France?";"A) Code noir | B) Code civil (Code Napoléon) | C) Déclaration des droits de l’homme de 1948 | D) Charte de l’ONU";"A) Code Noir | B) Civil Code (Napoleonic Code) | C) 1948 Universal Declaration of Human Rights | D) UN Charter";"B";"Le Code civil de 1804 structure durablement le droit civil français.";"The 1804 Civil Code long shaped French civil law."
75;Histoire;2;"Quel conflit oppose principalement Athènes et Sparte au Ve siècle av. J.-C. ?";"Which conflict mainly pitted Athens against Sparta in the 5th century BCE?";"A) Guerres puniques | B) Guerre du Péloponnèse | C) Guerres médiques | D) Croisades";"A) Punic Wars | B) Peloponnesian War | C) Greco-Persian Wars | D) Crusades";"B";"La guerre du Péloponnèse oppose Athènes et Sparte.";"The Peloponnesian War pitted Athens against Sparta."
